City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Hobart,AU,2020-02-27 02:35:31,-42.88,147.33,66.99,39,75,19.46,shower rain,0.0,0.0
1,Georgetown,MY,2020-02-27 02:32:14,5.41,100.34,86.0,66,20,4.7,few clouds,0.0,0.0
2,Kapaa,US,2020-02-27 02:35:31,22.08,-159.32,80.6,65,20,19.46,few clouds,0.0,0.0
3,Ushuaia,AR,2020-02-27 02:35:31,-54.8,-68.3,46.4,70,75,32.21,shower rain,0.0,0.0
4,Hilo,US,2020-02-27 02:33:41,19.73,-155.09,80.6,51,1,11.41,clear sky,0.0,0.0
5,Sterling,US,2020-02-27 02:35:32,39.01,-77.43,50.0,100,90,8.05,moderate rain,0.0,0.0
6,Lorengau,PG,2020-02-27 02:35:32,-2.02,147.27,85.64,69,0,4.97,clear sky,0.0,0.0
7,Rikitea,PF,2020-02-27 02:35:32,-23.12,-134.97,80.44,75,100,8.32,overcast clouds,0.0,0.0
8,Esperance,AU,2020-02-27 02:32:41,-33.87,121.9,69.8,60,40,12.75,scattered clouds,0.0,0.0
9,Port Alfred,ZA,2020-02-27 02:35:33,-33.59,26.89,69.01,90,100,4.0,light rain,0.047,0.0
10,Ondjiva,AO,2020-02-27 02:35:33,-17.07,15.73,69.3,88,100,6.29,moderate rain,0.14,0.0
11,Butaritari,KI,2020-02-27 02:35:33,3.07,172.79,84.34,79,100,16.53,overcast clouds,0.0,0.0
12,Korem,ET,2020-02-27 02:35:33,12.51,39.52,55.42,70,51,3.0,broken clouds,0.0,0.0
13,Altay,CN,2020-02-27 02:32:42,47.87,88.12,26.62,74,100,3.53,overcast clouds,0.0,0.0
14,Malanje,AO,2020-02-27 02:35:34,-9.54,16.34,62.87,97,100,1.95,overcast clouds,0.0,0.0
15,Praia Da Vitoria,PT,2020-02-27 02:35:34,38.73,-27.07,59.0,77,20,15.08,few clouds,0.0,0.0
16,Cape Town,ZA,2020-02-27 02:33:50,-33.93,18.42,64.0,88,20,24.16,few clouds,0.0,0.0
17,Punta Arenas,CL,2020-02-27 02:32:50,-53.15,-70.92,48.2,70,20,35.57,few clouds,0.0,0.0
18,Qaanaaq,GL,2020-02-27 02:35:34,77.48,-69.36,-14.04,58,100,3.8,overcast clouds,0.0,0.0
19,Busselton,AU,2020-02-27 02:35:35,-33.65,115.33,71.01,53,100,15.12,light rain,0.049,0.0
20,Jamestown,US,2020-02-27 02:32:02,42.1,-79.24,39.99,93,90,3.36,moderate rain,0.0,0.0
21,Mataura,NZ,2020-02-27 02:35:35,-46.19,168.86,63.0,65,100,21.0,overcast clouds,0.0,0.0
22,Avarua,CK,2020-02-27 02:35:35,-21.21,-159.78,78.8,94,0,3.36,light rain,0.0,0.0
23,Geraldton,AU,2020-02-27 02:35:35,-28.77,114.6,82.4,61,69,25.28,light rain,0.012,0.0
24,Assiniboia,CA,2020-02-27 02:35:36,49.63,-105.98,20.59,91,85,8.75,overcast clouds,0.0,0.0
25,Ilulissat,GL,2020-02-27 02:35:36,69.22,-51.1,-9.4,47,30,8.05,scattered clouds,0.0,0.0
26,Kudahuvadhoo,MV,2020-02-27 02:35:36,2.67,72.89,82.11,82,92,14.47,overcast clouds,0.0,0.0
27,Sikasso,ML,2020-02-27 02:35:36,10.92,-7.0,71.69,18,0,4.25,clear sky,0.0,0.0
28,Ancud,CL,2020-02-27 02:35:36,-41.87,-73.82,59.0,82,0,11.41,clear sky,0.0,0.0
29,Prince Rupert,CA,2020-02-27 02:33:41,54.32,-130.32,42.8,93,90,13.87,light rain,0.0,0.0
30,Cartagena,CO,2020-02-27 02:32:24,10.4,-75.51,78.8,88,20,8.05,few clouds,0.0,0.0
31,Lebu,CL,2020-02-27 02:35:37,-37.62,-73.65,54.03,91,0,4.88,clear sky,0.0,0.0
32,Xinzhou,CN,2020-02-27 02:35:37,38.41,112.73,30.76,90,100,3.89,light snow,0.0,0.005
33,Dalianwan,CN,2020-02-27 02:35:37,39.03,121.69,39.2,32,47,4.47,scattered clouds,0.0,0.0
34,Tezu,IN,2020-02-27 02:35:38,27.92,96.17,60.67,83,90,1.45,light rain,0.012,0.0
35,Bredasdorp,ZA,2020-02-27 02:35:38,-34.53,20.04,64.4,77,100,8.05,light rain,0.047,0.0
