City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-02-24 03:39:01,22.08,-159.32,80.6,65,20,9.17
1,Hansi,IN,2020-02-24 03:39:01,29.1,75.97,63.72,57,20,3.18
2,Castro,BR,2020-02-24 03:39:01,-24.79,-50.01,57.61,94,100,8.41
3,Fortuna,US,2020-02-24 03:39:01,40.6,-124.16,50.0,93,90,6.93
4,Severo-Kurilsk,RU,2020-02-24 03:39:02,50.68,156.12,26.6,96,100,34.47
5,Narsaq,GL,2020-02-24 03:39:02,60.92,-46.05,23.0,73,100,9.17
6,Caiaponia,BR,2020-02-24 03:39:02,-16.96,-51.81,69.51,97,100,1.9
7,Englewood,US,2020-02-24 03:39:02,39.65,-104.99,39.2,69,90,5.61
8,Saint-Georges,GD,2020-02-24 03:39:02,12.06,-61.75,78.8,88,75,12.75
9,Rikitea,PF,2020-02-24 03:39:03,-23.12,-134.97,80.06,69,12,7.72
10,Bluff,NZ,2020-02-24 03:39:03,-46.6,168.33,63.72,61,13,12.59
11,Beringovskiy,RU,2020-02-24 03:39:03,63.05,179.32,-6.54,92,54,5.48
12,Klaksvik,FO,2020-02-24 03:39:03,62.23,-6.59,37.4,69,59,25.28
13,Georgetown,MY,2020-02-24 03:34:12,5.41,100.34,87.8,66,20,4.7
14,Mabaruma,GY,2020-02-24 03:39:04,8.2,-59.78,72.55,99,21,2.17
15,Angoche,MZ,2020-02-24 03:39:04,-16.23,39.91,75.49,96,77,4.65
16,Aksu,CN,2020-02-24 03:39:04,41.12,80.26,40.46,42,100,0.96
17,Lubbock,US,2020-02-24 03:35:46,33.6,-101.83,54.0,37,20,16.11
18,Nikolskoye,RU,2020-02-24 03:39:04,59.7,30.79,35.6,94,90,6.71
19,Molteno,ZA,2020-02-24 03:39:05,-31.4,26.36,42.15,94,12,2.44
20,Nogent-Le-Rotrou,FR,2020-02-24 03:39:05,48.33,1.0,52.0,100,90,11.41
21,Boa Vista,BR,2020-02-24 03:39:05,2.82,-60.67,86.0,58,4,9.17
22,Iqaluit,CA,2020-02-24 03:37:15,63.75,-68.51,-27.0,67,75,4.36
23,Provideniya,RU,2020-02-24 03:39:05,64.38,-173.3,-3.23,66,29,0.96
